"name"	"size"	"type"	"directory"
"f82655997ae5abebedc527910693eb8255ed35"	"190"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\73"
"669089210a718ec22a399785da2395e925c81c"	"61"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\78"
"25b0343e4e8fdf34bc2c664f35ff9c26116f7c"	"243"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7a"
"a0b74671748cf7ab60a0e721837bbd940fb04a"	"65"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7a"
"311787a0668d9117ab39aace29290057c5e004"	"59"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7b"
"b088775feb2879e2552c07e02cb5729b28efac"	"696"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7c"
"885fca4fef543e8444d80229bdc19c52456e43"	"622"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7f"
"a57d41bbbecf717d54aa9bfb39a3f8ed4f401e"	"204"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\80"
"4cd5e5496afcf22c903ad4840a70b722dc67c3"	"287"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\81"
"3dda69877a39570cc733cd404c1ec88db6f835"	"65"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\83"
"6c39d9b65b630c1455e7b0b4c08d22fe593ea5"	"193"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\83"
"08f3618043d649c8dbc03334c0e8c27c09355c"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\85"
"ac4c62da71751d37055e40b10809b02c402e2f"	"158"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\85"
"6400f25a5c99cb99625bf2b475ad7a82076539"	"533"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"d7b21712ce7f81590f5712d2447e50b7d66892"	"184"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"d7f077a334340be13dcde4d3bebe3f9ba123c8"	"691"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"f5becad694051a44bab7b1caff8b7836166360"	"243"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"48d9977aaf4f4371d487011200f14584162438"	"623"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\8a"
"e2b88a7003ba7082e8e9a4082d86bccbd2e68a"	"173"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\8a"
"06a6fda7d78bbf321c265cbecbd1d86cd66ce8"	"118"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\8c"
"4528b7abaf0c03a2a7a4fc0cc7b442f88579a5"	"568"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\8c"
"e7a1753e55485cbe0fe44daef8d997c2499fa8"	"412"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\8d"
"e300bfc9e1ad91a39a9f1c32a5f00f1466ac8c"	"166"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\8e"
"c785e41341f11760f8adbf1a1cdc9776c3e2ee"	"167"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\90"
"bdabff9ada3fcd4d3b3d804c6c39821f9e9400"	"2099"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\94"
"cbb638ec99e0da682f7f7ecfec0bb05600ffbb"	"823"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\94"
"9bf47f9c0aff163356c4c70c6a98e9d73d6031"	"340"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\96"
"1eef4b9626ece87885c83a18a64aecc91d31c8"	"617"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\97"
"1fb783fb0abff8096675160be9e71352ed3efc"	"739"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\97"
"c99d2fb1111cdc579f3cd57d092250e28b838f"	"303"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\98"
"bc8da5188a79e2f6ff1effc3763a68d768ff55"	"158"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\99"
"e3f053d81cdb56c994f85fdc7545c32cf08e5c"	"106"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\9b"
"a1f60de5ec806c16bd6d6e891f507e95039bcd"	"162"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\9c"
"9ca5a4f7769322419623f2535a60940315d55b"	"161"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\a0"
"1da2725a2e4b9d57d9a560fdcb40b5da17f8b9"	"311"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\a2"
