INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='exclude', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\info')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='HEAD', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='refs', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='heads', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='remotes', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_1', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_10', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_11', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_12', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_13', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_14', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_15', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_2', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_3', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_4', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_5', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_6', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_7', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_8', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_9', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='main', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\heads')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='origin', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='HEAD', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_1', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_10', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_11', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_12', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_13', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_14', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_15', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_2', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_3', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_4', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_5', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_6', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_7', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_8', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_9', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='main', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\logs\\refs\\remotes\\origin')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='01', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='02', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='04', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='07', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='08', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='0a', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='0b', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='0c', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='0e', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='10', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='12', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='13', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='14', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='16', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='17', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='18', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='19', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='1b', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='1f', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='20', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='23', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='24', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='25', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\objects')
